Roulette,Wheel:,,,74516.626,,,,,
1,38378.71,21320.12,0,,,,,,
2,45491.99,25954.61,9383.29,,,,,,
3,51179.88,27738.48,0,,,,,,
4,51179.88,30664.9,12431.42,,,,,,
5,51179.88,33596.83,14674.46,,,,,,
6,51179.88,35768.96,19702.57,,,,,,
7,50007.08,37566.86,19829.99,,,,,,
8,53543.82,39425.26,19657.53,,,,,,
9,57073.49,39574.4,20562.72,,,,,,
10,60840.3,38956.51,10197.27,,,,,,
11,60840.3,41484.65,13322.26,,,,,,
12,61022.3,40443.98,13322.26,,,,,,
13,61022.3,42292.54,13322.26,,,,,,
14,61022.3,44065.25,20440.94,,,,,,
15,58355.16,45408.12,28102.02,,,,,,
16,62055.87,46004.63,26859.16,,,,,,
17,58730.32,44743.86,22625.83,,,,,,
18,61391.88,44898.14,29599.87,,,,,,
19,58730.32,44442.56,24751.25,,,,,,
20,58730.32,44665.48,22048.1,,,,,,
21,67056.29,45419.3,28613.38,,,,,,
22,67056.29,44404.25,27080.21,,,,,,
23,67056.29,45693.26,25440.01,,,,,,
24,67056.29,46395.28,29449.97,,,,,,
25,59966.51,46756.08,25564.92,,,,,,
26,59643.36,47534.98,32458.27,,,,,,
27,59301.12,46348.98,33532.64,,,,,,
28,58829.19,46072.59,28885.36,,,,,,
29,61367.45,46912.71,32604.16,,,,,,
30,60929.84,48140.05,29632.97,,,,,,
31,60929.84,49276.3,36202.7,,,,,,
32,64060.48,48691.7,31082.56,,,,,,
33,67391.15,49774.87,20823.35,,,,,,
34,63901.9,50140.86,31082.56,,,,,,
35,65954.45,50200.68,28035.23,,,,,,
36,66808.34,51522.55,29591.19,,,,,,
37,66808.34,52358.36,33759.38,,,,,,
38,67096.91,51339.76,33042.08,,,,,,
39,67096.91,53246.21,34676.86,,,,,,
40,65701.34,53716.91,29730.74,,,,,,
41,69901.62,56293.07,27996.18,,,,,,
42,78328.92,58719.85,42482.97,,,,,,
43,78328.92,58288.23,39398.45,,,,,,
44,69815.54,56521.38,40486.91,,,,,,
45,75006.7,57041.72,36296.18,,,,,,
46,71357.17,57598.69,35981.92,,,,,,
47,73271.94,58498.19,33754.21,,,,,,
48,77102.86,59853.28,42684.47,,,,,,
49,77102.86,59232.74,37483.51,,,,,,
50,80194.13,58656.69,31719.07,,,,,,
51,74617.2,59280.07,40108.7,,,,,,
52,74617.2,59689.55,42420.57,,,,,,
53,74069.03,57716.13,38481.67,,,,,,
54,74069.03,54975.98,34656.62,,,,,,
55,74069.03,52206.96,30421.47,,,,,,
56,70083.86,53630.57,34892.15,,,,,,
57,70083.86,53663.92,34363.56,,,,,,
58,70422.44,52939.29,32303.62,,,,,,
59,71175.39,49892.6,26146.82,,,,,,
60,71175.39,49646.91,23018.7,,,,,,
61,71175.39,50685.88,23628.99,,,,,,
62,74656.61,54487.34,23628.99,,,,,,
63,74656.61,54344.14,23461.29,,,,,,
64,71175.39,53233.64,21071.84,,,,,,
65,74600.75,54105.47,21071.84,,,,,,
66,71606.27,53545.15,29603.35,,,,,,
67,74466.03,54027.12,25659.4,,,,,,
68,74466.03,52129.38,33661.06,,,,,,
69,74466.03,52456.25,32087.57,,,,,,
70,74607.95,54991.19,33661.06,,,,,,
71,74785.29,57081.24,39825.19,,,,,,
72,74670.32,54902.31,35169.61,,,,,,
73,81109.41,54383.25,33932.5,,,,,,
74,81109.41,53518.53,33810.65,,,,,,
75,81143.79,57467.92,36788.67,,,,,,
76,76235.69,56192.2,29616.06,,,,,,
77,76235.69,55382.1,28765.77,,,,,,
78,76235.69,56369.42,32164.39,,,,,,
79,76306.6,56082.86,27119.66,,,,,,
80,76981.64,54986.61,27079.86,,,,,,
81,76306.6,58846.89,25653.65,,,,,,
82,79762.34,59788.56,30970.14,,,,,,
83,76306.6,57297.84,34127.1,,,,,,
84,79142.28,57226.18,35344.85,,,,,,
85,79142.28,57876.47,39817.33,,,,,,
86,80437.85,61272.51,42311.07,,,,,,
87,78891.17,59840,34541.09,,,,,,
88,78891.17,58690.98,21026.58,,,,,,
89,78746.05,56819.51,18725.23,,,,,,
90,80622.79,58003.31,32999.86,,,,,,
91,80622.79,58409.54,27317.67,,,,,,
92,80622.79,62758.56,43846.11,,,,,,
93,71491.2,58821.69,40366.01,,,,,,
94,75909.03,59366.07,41945.95,,,,,,
95,75289.97,57674.37,34646.77,,,,,,
96,74291.43,56827.28,33188.32,,,,,,
97,72928.36,56871.17,39239.1,,,,,,
98,81859.09,58391.18,37713.04,,,,,,
99,81859.09,59781.57,38164.36,,,,,,
100,81859.09,59448.29,37433.09,,,,,,
101,74996.94,58737.41,28423,,,,,,
102,76698.31,61162.39,33299.84,,,,,,
103,76698.31,61518.87,33299.84,,,,,,
104,76231.27,61185.55,39122.97,,,,,,
105,77237.27,58853.14,26049.48,,,,,,
106,77237.27,59733.38,35856.94,,,,,,
107,84555.02,59012.98,39122.97,,,,,,
108,84555.02,60189,37621.48,,,,,,
109,78723.3,56189.59,31650.45,,,,,,
110,78938.71,56175.54,26214.06,,,,,,
111,76944.82,57750.85,21858.13,,,,,,
112,76944.82,56459.25,21858.13,,,,,,
113,76944.82,58390.01,21858.13,,,,,,
114,74612.22,55803,21858.13,,,,,,
115,78946.92,54368.32,23332,,,,,,
116,77614.82,55691.59,25611.04,,,,,,
117,77614.82,56139.75,25611.04,,,,,,
118,77614.82,56413.92,40440.98,,,,,,
119,79055.21,56833.29,37816.89,,,,,,
120,79055.21,54854.81,30235.25,,,,,,
121,79055.21,54685.66,26141.68,,,,,,
122,80142.34,56659.63,35793.4,,,,,,
123,80142.34,56642.53,27975.94,,,,,,
124,80142.34,57792.9,36687.4,,,,,,
125,83008.65,54736.76,32399.73,,,,,,
126,71363.05,54921.54,36870.21,,,,,,
127,71749.12,59633.68,42727.3,,,,,,
128,73020.65,59392.78,39031.24,,,,,,
129,78434.79,61874.48,35290.23,,,,,,
130,78940.84,62771.72,33079.5,,,,,,
131,81678.48,61496.7,33292.07,,,,,,
132,81678.48,61617.61,35921.61,,,,,,
133,82696.3,59743.12,29436.26,,,,,,
134,82370.78,59117.31,34213.63,,,,,,
135,81678.48,61635.91,41170.5,,,,,,
136,81678.48,60136.19,39632.13,,,,,,
137,81678.48,56728.43,38941.29,,,,,,
138,81678.48,53475.99,33823.2,,,,,,
139,81678.48,52571.63,21968.19,,,,,,
140,75150.29,54339.34,33823.2,,,,,,
141,73914.43,57031.08,31279.81,,,,,,
142,72529.8,56653.48,34878.76,,,,,,
143,72529.8,57176.13,39976.3,,,,,,
144,71893.92,59956.29,34662.04,,,,,,
145,71223.83,58812.85,38004.15,,,,,,
146,71223.83,57101.97,36729.89,,,,,,
147,78631.64,56999.95,36035.67,,,,,,
148,71223.83,57205.85,29530.82,,,,,,
149,72398.3,58839.26,29530.82,,,,,,
150,78241.38,60104.74,29530.82,,,,,,
151,78241.38,59948.63,39234.53,,,,,,
152,76095.88,60911.71,45942.52,,,,,,
153,73096.75,61680.3,36065.36,,,,,,
154,73096.75,64954.62,44550.5,,,,,,
155,75230.03,64905.27,39520.05,,,,,,
156,77456.16,65670.37,40908.46,,,,,,
157,80426.3,64714.47,40644.91,,,,,,
158,80733.68,65426.63,40644.91,,,,,,
159,77456.16,66972.19,44550.5,,,,,,
160,77456.16,67798.06,47100.35,,,,,,
161,78522.82,67572.06,47100.35,,,,,,
162,84464.76,65793.74,42422.5,,,,,,
